date,source_overseas,source_locally_acquired_no_links,source_locally_acquired_linked,source_locally_acquired_investigation,source_interstate,test_count
18/5/2020,2,0,0,0,0,10578
15/8/2020,0,0,6,0,0,11101
3/12/2020,4,0,0,0,0,10607
1/10/2021,2,44,333,450,0,85486
16/3/2021,5,0,1,0,0,13411
26/5/2021,0,0,0,0,0,16515
24/12/2020,5,0,7,0,0,24398
8/8/2020,1,0,12,0,1,12386
22/7/2021,3,2,114,25,0,90623
23/2/2020,0,0,0,0,0,53
7/1/2021,3,1,1,0,0,21506
9/2/2020,0,0,0,0,0,37
25/6/2021,0,0,27,1,0,59471
9/7/2020,7,0,2,0,0,14880
30/6/2021,1,0,29,1,0,52329
18/7/2020,5,3,9,0,0,15043
9/7/2021,3,3,40,6,0,50134
31/1/2020,0,0,0,0,0,21
26/1/2020,0,0,0,0,0,8
16/1/2021,9,0,5,0,0,7688
16/6/2021,1,0,2,1,0,20367
2/6/2021,2,0,0,0,0,22121
15/7/2021,2,3,77,20,0,75091
1/3/2020,0,0,0,0,0,132
4/1/2020,0,0,0,0,0,3
1/8/2020,1,1,11,0,1,12755
17/12/2020,2,0,23,0,0,15240
23/2/2021,4,0,0,0,0,16002
26/11/2020,5,0,0,0,0,10240
25/5/2020,2,0,0,0,0,9738
5/9/2020,5,0,3,0,0,8825
16/4/2021,7,0,2,0,0,7729
17/9/2020,3,0,0,0,0,13801
31/8/2021,2,51,449,705,0,127044
29/10/2020,7,0,0,0,0,13352
19/4/2020,0,3,4,0,0,2969
16/10/2021,0,4,192,101,0,60522
30/8/2020,7,0,4,0,0,9907
1/3/2021,1,0,0,0,0,19371
4/6/2020,3,0,0,0,0,10630
16/11/2020,4,0,0,0,0,20493
8/5/2020,1,0,3,0,0,10466
15/10/2021,1,9,174,148,0,72475
13/12/2020,5,0,0,0,0,4440
10/3/2021,7,0,0,0,0,11476
21/8/2020,0,1,6,0,0,24255
10/3/2020,4,0,2,0,0,3893
10/2/2021,2,0,0,0,0,14532
10/5/2021,4,0,0,0,0,24090
21/6/2020,1,0,0,0,0,7107
7/8/2021,4,8,141,97,0,103490
19/7/2020,3,1,15,0,1,13754
13/1/2021,2,0,0,0,0,14758
15/6/2021,1,0,0,0,0,23752
3/2/2020,0,0,0,0,0,92
10/7/2021,4,3,92,8,0,42297
23/1/2020,0,0,0,0,0,10
19/8/2020,1,0,1,0,0,31738
6/5/2020,0,0,3,0,0,12008
15/12/2020,3,0,0,0,0,8739
12/3/2021,0,0,0,0,0,8666
13/10/2021,1,8,174,218,0,80194
1/10/2020,2,0,0,0,1,8949
14/9/2021,1,85,396,713,0,120870
2/4/2021,3,0,0,0,0,5248
3/5/2020,0,1,0,0,0,4848
15/10/2020,3,0,0,0,0,13135
7/5/2020,0,0,2,0,0,10829
14/12/2020,7,0,0,0,0,12029
12/10/2021,1,8,168,258,0,79716
13/3/2021,4,0,1,0,0,4832
18/8/2020,1,2,4,0,1,32279
20/8/2021,6,37,383,343,0,140640
22/1/2021,1,0,0,0,0,10632
29/3/2020,74,17,29,0,4,1812
5/5/2021,7,1,1,0,0,13126
26/6/2020,5,0,0,0,0,16526
16/4/2020,6,0,16,0,0,7171
16/9/2020,4,0,3,0,0,15916
30/8/2021,2,46,389,644,0,150722
1/11/2020,4,0,1,0,0,6211
17/4/2021,4,0,0,0,0,4534
30/7/2021,1,3,141,52,0,104176
